,0
payment_value_sum,0.1861856964411188
payment_value_mean,0.17230491531461767
CLV_prob_6m,0.15065787906038014
T,0.11098990075868898
review_score_mean,0.07616326935892086
monetary_value,0.07598842956715555
recency,0.05514700506019289
p_alive,0.0511066291551859
num_unique_products,0.04930998832127148
frequency,0.026881089984098425
state_mode_SP,0.010014211312746308
state_mode_RJ,0.006395752712656229
state_mode_AM,0.005956100624110073
state_mode_TO,0.003788338140292926
state_mode_GO,0.003065257951405199
state_mode_MG,0.002730449734801119
state_mode_RS,0.002063172096786587
state_mode_SC,0.0017012957242739477
state_mode_SE,0.0016384588638438688
state_mode_PE,0.0013480718033920642
state_mode_BA,0.0013187749531985687
state_mode_RO,0.0012697475546400458
state_mode_ES,0.0009846501725290112
state_mode_PR,0.0008444124922863791
state_mode_AC,0.0005673734446204194
state_mode_PA,0.0003431293941265379
state_mode_DF,0.0003183965607763023
state_mode_MT,0.000309539766173844
state_mode_CE,0.0002412349402245273
state_mode_MA,0.00013625918341772582
state_mode_MS,7.550348154781886e-05
state_mode_PI,6.974902968315615e-05
state_mode_PB,3.468449252212966e-05
state_mode_AL,2.7452672281374776e-05
state_mode_RN,2.305428216874963e-05
state_mode_AP,1.2559386462696324e-07
state_mode_RR,0.0
